"ProcessName","HandleCount"
"AppleMobileDeviceService","228"
"ApplicationFrameHost","562"
"atmgr","759"
"atmgr","831"
"atmgr","775"
"audiodg","366"
"Calculator","575"
"cayley","143"
"cb","473"
"chrome","235"
"chrome","295"
"chrome","287"
"chrome","839"
"chrome","237"
"chrome","237"
"chrome","402"
"chrome","237"
"chrome","290"
"chrome","236"
"chrome","313"
"chrome","302"
"chrome","243"
"chrome","244"
"chrome","4732"
"chrome","287"
"chrome","287"
"chrome","299"
"chrome","436"
"chrome","346"
"chrome","297"
"chrome","290"
"chrome","295"
"chrome","681"
"chrome","345"
"chrome","305"
"chrome","236"
"chrome","218"
"chrome","314"
"chrome","272"
"chrome","254"
"chrome","243"
"chrome","252"
"chrome","303"
"chrome","320"
"chrome","280"
"chrome","374"
"chrome","237"
"chrome","320"
"chrome","287"
"chrome","309"
"chrome","270"
"chrome","318"
"ciscowebexstart","291"
"cmd","74"
"Code","433"
"Code","530"
"Code","1092"
"Code","593"
"Code","387"
"Code","222"
"Code","276"
"Code","220"
"CodeHelper","315"
"collector","96"
"CompPkgSrv","156"
"conhost","151"
"conhost","128"
"conhost","129"
"conhost","118"
"conhost","156"
"conhost","128"
"conhost","151"
"conhost","133"
"conhost","133"
"conhost","128"
"conhost","129"
"conhost","151"
"conhost","128"
"conhost","128"
"conhost","177"
"conhost","113"
"conhost","128"
"conhost","116"
"conhost","128"
"conhost","128"
"conhost","128"
"conhost","128"
"conhost","128"
"conhost","128"
"conhost","128"
"conhost","128"
"conhost","128"
"conhost","128"
"conhost","252"
"conhost","129"
"conhost","128"
"conhost","128"
"conhost","128"
"conhost","128"
"conhost","128"
"conhost","128"
"conhost","203"
"conhost","128"
"conhost","128"
"conhost","100"
"conhost","113"
"conhost","129"
"conhost","128"
"conhost","129"
"CptService","156"
"csrss","1344"
"csrss","1031"
"ctfmon","489"
"CxAudioSvc","307"
"CxUtilSvc","194"
"CylanceSvc","1895"
"CylanceUI","546"
"dasHost","587"
"dasHost","80"
"DbxSvc","199"
"dllhost","271"
"dnscrypt-proxy","168"
"dotnet","908"
"dotnet","663"
"dotnet","840"
"dotnet","801"
"Dropbox","336"
"Dropbox","4939"
"Dropbox","181"
"DropboxUpdate","225"
"dwm","1595"
"Engine","982"
"EPWD","133"
"ERCService","840"
"explorer","2941"
"Flow","1207"
"FMUSBService64","117"
"fontdrvhost","32"
"fontdrvhost","32"
"GoogleUpdate","221"
"Greenshot","403"
"HotKeyServiceUWP","238"
"HPHotkeyNotification","207"
"hpqwmiex","232"
"ibtsiva","88"
"Idle","0"
"iexplore","631"
"iexplore","611"
"igfxCUIService","169"
"igfxEM","615"
"InstallRootService","623"
"inSync","1192"
"inSyncAgent","489"
"inSyncCPHwnet64","258"
"inSyncUpgrade","400"
"inSyncUSyncer","469"
"IntelCpHDCPSvc","176"
"IntelCpHeciSvc","135"
"issuser","421"
"jhi_service","151"
"LanWlanWwanSwitchingServiceUWP","243"
"ldbattery","91"
"LDDellOMCI","171"
"LDdrives","92"
"ldHPsensors","164"
"LDmemory","128"
"LDsensors","119"
"licenses","342"
"LMS","473"
"localsch","307"
"LockApp","568"
"LogiPresentation","230"
"LogiPresentationMgr","369"
"LogiPresentationUI","674"
"lsass","3552"
"MBAMAgent","262"
"mDNSResponder","183"
"Memory Compression","0"
"Microsoft.Photos","834"
"MicTray64","255"
"MusicBee","869"
"nlparser_r","758"
"node","184"
"node","210"
"node","184"
"node","191"
"node","208"
"node","168"
"node","194"
"node","189"
"node","181"
"node","183"
"node","162"
"node","169"
"node","182"
"node","153"
"node","167"
"node","170"
"node","152"
"node","169"
"node","169"
"notepad++","292"
"NVDisplay.Container","392"
"NVDisplay.Container","590"
"nvwmi64","160"
"nvwmi64","206"
"OfficeClickToRun","477"
"OneDrive","824"
"ONENOTEM","152"
"OUTLOOK","8049"
"pds","191"
"pg_ctl","156"
"pg_ctl","130"
"postgres","434"
"postgres","314"
"postgres","318"
"postgres","314"
"postgres","307"
"postgres","637"
"postgres","367"
"postgres","333"
"postgres","313"
"postgres","312"
"postgres","312"
"postgres","312"
"postgres","313"
"postgres","312"
"postgres","311"
"postgres","314"
"postgres","330"
"postgres","349"
"postgres","405"
"postgres","314"
"postgres","683"
"postgres","314"
"postgres","365"
"postgres","698"
"postgres","349"
"postgres","314"
"postgres","314"
"postgres","307"
"postgres","314"
"postgres","363"
"postgres","342"
"postgres","488"
"postgres","329"
"postgres","306"
"powershell","794"
"powershell","828"
"PresentationFontCache","228"
"Printing","884"
"PrivacyIconClient","336"
"Proxy","1463"
"ptOIEx64","3734"
"ptoneclk","794"
"ptsrv","243"
"pwsh","719"
"Qlik.Logging.Service","651"
"QtWebEngineProcess","382"
"QtWebEngineProcess","326"
"rcgui","191"
"rckvm","138"
"rckvm","138"
"Registry","0"
"RemoteDesktopManagerFree","2816"
"Repository","2140"
"residentAgent","266"
"RuntimeBroker","283"
"RuntimeBroker","377"
"RuntimeBroker","639"
"RuntimeBroker","363"
"RuntimeBroker","214"
"RuntimeBroker","129"
"RuntimeBroker","318"
"RuntimeBroker","363"
"RuntimeBroker","403"
"schedul2","339"
"Scheduler","1481"
"SearchFilterHost","126"
"SearchIndexer","929"
"SearchProtocolHost","263"
"SearchUI","1679"
"SecurityHealthService","396"
"SecurityHealthSystray","149"
"SelfElectController","225"
"ServiceDispatcher","343"
"services","1036"
"SettingSyncHost","166"
"SgrmBroker","89"
"ShellExperienceHost","741"
"sihost","623"
"slack","2018"
"slack","612"
"slack","230"
"slack","492"
"slack","553"
"slack","323"
"slimsvc","237"
"SmartAudio3","1344"
"smss","53"
"softmon","1630"
"spoolsv","480"
"sqlwriter","140"
"StartMenuExperienceHost","740"
"svchost","1311"
"svchost","86"
"svchost","1701"
"svchost","413"
"svchost","412"
"svchost","497"
"svchost","183"
"svchost","186"
"svchost","200"
"svchost","205"
"svchost","231"
"svchost","210"
"svchost","278"
"svchost","264"
"svchost","481"
"svchost","159"
"svchost","276"
"svchost","385"
"svchost","208"
"svchost","145"
"svchost","453"
"svchost","179"
"svchost","418"
"svchost","261"
"svchost","569"
"svchost","215"
"svchost","228"
"svchost","224"
"svchost","182"
"svchost","329"
"svchost","202"
"svchost","163"
"svchost","211"
"svchost","190"
"svchost","246"
"svchost","192"
"svchost","233"
"svchost","319"
"svchost","132"
"svchost","407"
"svchost","182"
"svchost","732"
"svchost","492"
"svchost","332"
"svchost","188"
"svchost","354"
"svchost","127"
"svchost","146"
"svchost","158"
"svchost","164"
"svchost","591"
"svchost","137"
"svchost","538"
"svchost","292"
"svchost","389"
"svchost","423"
"svchost","391"
"svchost","263"
"svchost","189"
"svchost","146"
"svchost","413"
"svchost","223"
"svchost","138"
"svchost","211"
"svchost","411"
"svchost","166"
"svchost","278"
"svchost","333"
"svchost","142"
"svchost","207"
"svchost","272"
"svchost","441"
"svchost","292"
"svchost","622"
"svchost","282"
"svchost","202"
"svchost","458"
"svchost","118"
"svchost","313"
"svchost","199"
"svchost","278"
"svchost","179"
"svchost","473"
"svchost","309"
"svchost","227"
"svchost","233"
"svchost","228"
"svchost","181"
"svchost","186"
"SynaMonApp","86"
"SynTPEnh","621"
"SynTPEnhService","281"
"SynTPHelper","67"
"System","7629"
"SystemSettings","900"
"taskhostw","295"
"tbtsvc","199"
"Teams","1404"
"Teams","434"
"Teams","631"
"Teams","303"
"Teams","354"
"Teams","308"
"Teams","1394"
"Thunderbolt","500"
"tmcsvc","275"
"TracCAPI","219"
"TracSrvWrapper","553"
"TrGUI","488"
"unsecapp","136"
"unsecapp","121"
"Video.UI","581"
"vmnat","172"
"vmnetdhcp","87"
"vmware-authd","330"
"vmware-hostd","411"
"vmware-tray","198"
"vmware-usbarbitrator64","220"
"VSSVC","166"
"WebexMTA","500"
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp","534"
"wininit","156"
"winlogon","454"
"WinStore.App","1023"
"wlanext","102"
"WmiPrvSE","347"
"WmiPrvSE","207"
"WmiPrvSE","181"
"WmiPrvSE","703"
"WUDFHost","267"
"WUDFHost","248"
"WUDFHost","269"
"YourPhone","753"
